,RandomForestClassifier(),DecisionTreeClassifier(class_weight='balanced'),SVC(),GaussianNB(),LogisticRegression()
Accuracy,0.8095238095238095,0.7142857142857143,0.8571428571428571,0.8534798534798534,0.8608058608058609
F1,0.5518939393939394,0.5560050041701418,0.4615384615384615,0.5252173913043477,0.4874505928853755
Recall,0.547008547008547,0.5876068376068375,0.5,0.5299145299145299,0.5128205128205128
Precision,0.5645889792231256,0.5557453632687213,0.42857142857142855,0.6466165413533834,0.9301470588235294
