,RandomForestClassifier(),DecisionTreeClassifier(class_weight='balanced'),SVC(),GaussianNB(),LogisticRegression()
accuracy,0.7765567765567766,0.663003663003663,0.8681318681318682,0.8388278388278388,0.8717948717948718
f1,0.7803140384032103,0.7114172212763762,0.8068519715578539,0.806944345976604,0.8155651495533617
recall,0.7765567765567766,0.663003663003663,0.8681318681318682,0.8388278388278388,0.8717948717948718
precision,0.7842115149807457,0.7890575033432176,0.7536529404661273,0.7857779286350715,0.8882918552036199
